Datum;Uhrzeit;exemplary_load
05.11.2016;21:15:00;-2,305.60
05.11.2016;21:30:00;-2,569.60
05.11.2016;21:45:00;-2,103.20
05.11.2016;22:00:00;-8.8
05.11.2016;22:15:00;-510.4
05.11.2016;22:30:00;-2,851.20
05.11.2016;22:45:00;-4,312.00
05.11.2016;23:00:00;-4,391.20
05.11.2016;23:15:00;-4,664.00
05.11.2016;23:30:00;-3,476.00
05.11.2016;23:45:00;-3,071.20
06.11.2016;00:00:00;-3,132.80
06.11.2016;00:15:00;-5,253.60
06.11.2016;00:30:00;-4,954.40
06.11.2016;00:45:00;-5,051.20
06.11.2016;01:00:00;-4,813.60
06.11.2016;01:15:00;-1,601.60
06.11.2016;01:30:00;-897.6
06.11.2016;01:45:00;-4,514.40
06.11.2016;02:00:00;-3,678.40
06.11.2016;02:15:00;-3,986.40
06.11.2016;02:30:00;-3,458.40
06.11.2016;02:45:00;-3,731.20
06.11.2016;03:00:00;862.4
06.11.2016;03:15:00;1,575.20
06.11.2016;03:30:00;404.8
06.11.2016;03:45:00;624.8
06.11.2016;04:00:00;844.8
06.11.2016;04:15:00;748
06.11.2016;04:30:00;-1,487.20
06.11.2016;04:45:00;-1,003.20
06.11.2016;05:00:00;-1,900.80
06.11.2016;05:15:00;-809.6
06.11.2016;05:30:00;-985.6
06.11.2016;05:45:00;-2,719.20
06.11.2016;06:00:00;-2,692.80
06.11.2016;06:15:00;-1,944.80
06.11.2016;06:30:00;-994.4
06.11.2016;06:45:00;-3,282.40
06.11.2016;07:00:00;-2,939.20
06.11.2016;07:15:00;-4,382.40
06.11.2016;07:30:00;-2,147.20
06.11.2016;07:45:00;-4,109.60
06.11.2016;08:00:00;-4,408.80
06.11.2016;08:15:00;-4,048.00
06.11.2016;08:30:00;-3,880.80
06.11.2016;08:45:00;-2,094.40
06.11.2016;09:00:00;-1,592.80
06.11.2016;09:15:00;-3,036.00
06.11.2016;09:30:00;-1,804.00
06.11.2016;09:45:00;-1,460.80
06.11.2016;10:00:00;-2,437.60
06.11.2016;10:15:00;-677.6
06.11.2016;10:30:00;-2,736.80
06.11.2016;10:45:00;-2,904.00
06.11.2016;11:00:00;-2,789.60
06.11.2016;11:15:00;-1,012.00
06.11.2016;11:30:00;-1,742.40
06.11.2016;11:45:00;-1,786.40
06.11.2016;12:00:00;-1,003.20
06.11.2016;12:15:00;1,003.20
06.11.2016;12:30:00;-17.6
06.11.2016;12:45:00;1,531.20
06.11.2016;13:00:00;932.8
06.11.2016;13:15:00;1,531.20
06.11.2016;13:30:00;695.2
06.11.2016;13:45:00;1,276.00
06.11.2016;14:00:00;580.8
06.11.2016;14:15:00;-1,082.40
06.11.2016;14:30:00;228.8
06.11.2016;14:45:00;2,516.80
06.11.2016;15:00:00;3,423.20
06.11.2016;15:15:00;2,710.40
06.11.2016;15:30:00;1,848.00
06.11.2016;15:45:00;2,992.00
06.11.2016;16:00:00;2,965.60
06.11.2016;16:15:00;3,229.60
06.11.2016;16:30:00;3,625.60
06.11.2016;16:45:00;3,740.00
06.11.2016;17:00:00;3,960.00
06.11.2016;17:15:00;4,232.80
06.11.2016;17:30:00;4,162.40
06.11.2016;17:45:00;4,180.00
06.11.2016;18:00:00;4,083.20
06.11.2016;18:15:00;4,188.80
06.11.2016;18:30:00;5,438.40
06.11.2016;18:45:00;4,875.20
06.11.2016;19:00:00;5,720.00
06.11.2016;19:15:00;5,632.00
06.11.2016;19:30:00;5,341.60
06.11.2016;19:45:00;4,787.20
06.11.2016;20:00:00;3,872.00
06.11.2016;20:15:00;4,875.20
06.11.2016;20:30:00;4,435.20
06.11.2016;20:45:00;4,109.60
06.11.2016;21:00:00;2,244.00
06.11.2016;21:15:00;783.2
06.11.2016;21:30:00;61.6
06.11.2016;21:45:00;2,217.60
06.11.2016;22:00:00;1,496.00
06.11.2016;22:15:00;1,293.60
